"","title","message","impressions","paid_for_by","advertiser","page","date"
"1","Beto O'Rourke","<p>Welcome to your Beto Pop-up Office! This is where you can sign up to knock doors and make phone calls to get out the vote for Beto. Check below for available times, sign up for the days you can come in to volunteer, and we'll reach out to you with all of the details! Plan to come to one of the listed trainings before getting to work, and stick around for a full 3 hour shift if possible.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"2","Beto O'Rourke","<p>Join us on Sunday, September 30 at 5:30pm CT/4:30pm MT for a Debate Watch Party! Come gather with other Beto supporters and tune into the debate where we’ll hear Beto lay out his vision for Texas on the national stage.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-30
"3","Beto O'Rourke","<p>The only way we’re going to win in November is by talking to a LOT of Texans -- and that means knocking on doors and making phone calls for Beto. We’re empowering volunteers in communities across the state to host events for Beto, and there are some coming up near you!</p><p> Talking to voters will make all the difference in this race. Join a block walk or phonebank for Beto in your community today. ↓</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"4","Beto O'Rourke","<p>Are you voting in the general election for U.S. Senate on November 6?</p><p> This is Dan, a member of our staff. Here's why he's supporting Beto:</p>",3,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-23
"5","Beto O'Rourke","<p>The momentum in this race is on our side. Cook Political Report JUST changed our race from ‘Lean Republican’ TO ‘TOSS UP.’ </p><p> Beto has been working hard, traveling to each of Texas’ 254 counties to hear from Texans about the issues that matter to their communities. And tens of thousands of supporters and volunteers just like you have been in his corner, volunteering and pitching in $5, $10 bucks at a time.</p><p> If you can, right now, chip in to support our campaign for Texas. This moment is everything.</p>",3,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-03
"6","Beto O'Rourke","<p>This is a landmark moment in our campaign. Beto and Ted Cruz face off in their next debate and people everywhere will be watching. You’ll get to see where they stand on the issues that matter to Texas families -- and what’s on the line in this election. Show Beto you have his back with a donation of $5 or more today.</p>",3,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"7","Beto O'Rourke","<p>Beto O’Rourke out-raised Senator Ted Cruz in the second financial quarter without taking a DIME from PACs, and the latest polls show us tied neck-and-neck. </p><p> Take a moment to watch our video and meet Beto and then add your contribution to his campaign to help us beat Ted Cruz in 2018. </p><p> Every little bit helps us build our grassroots campaign to turn Texas blue and it depends on folks like you.</p>",275,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2017-11-08
"8","Beto O'Rourke","<p>Join us for a Grassroots HQ office opening meeting in Nacogdoches where we will meet fellow supporters in the area, hear a special update from the campaign, and leave with specific next steps on how every person can get to work to elect Beto! (Note: Beto will not be present at this event)</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-27
"9","Beto O'Rourke","<p>Beto O’Rourke out-raised Senator Ted Cruz in the second financial quarter without taking a DIME from PACs, and the latest polls show us tied neck-and-neck. </p><p> Take a moment to watch our video and meet Beto and then add your contribution to his campaign to help us beat Ted Cruz in 2018. </p><p> Every little bit helps us build our grassroots campaign to turn Texas blue and it depends on folks like you.</p>",613,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2017-11-09
"10","Beto O'Rourke","<p>Welcome to your Beto Pop-up Office! This is where you can sign up to knock doors and make phone calls to get out the vote for Beto. Check below for available times, sign up for the days you can come in to volunteer, and we'll reach out to you with all of the details! Plan to come to one of the listed trainings before getting to work, and stick around for a full 3 hour shift if possible.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
