date,time,headline,URL,teaser,section
10/8/2017,6:45 AM,North Korean Leader Hails Nuclear Arsenal as ‘Powerful Deterrent’,https://www.nytimes.com/2017/10/08/world/asia/kim-jong-un-nuclear-weapons.html?partner=rss&emc=rss,Kim Jong-un struck a defiant tone after President Trump said diplomacy had failed to end the crisis. And South Korean officials were worried that the North would conduct a major test Tuesday.,NYT > Politics
10/8/2017,8:12 AM,"Erik Prince, Blackwater Founder, Weighs Primary Challenge to Wyoming Republican",https://www.nytimes.com/2017/10/08/us/politics/erik-prince-blackwater-wyoming-senate.html?partner=rss&emc=rss,"If Mr. Prince runs, he would be a high-profile contender in a fledgling drive to oust establishment lawmakers with insurgents in the mold of President Trump.",NYT > Politics
10/8/2017,10:00 AM,"At Queens Museum, the Director Is as Political as the Art",https://www.nytimes.com/2017/10/08/arts/design/queens-museum-laura-raicovich-daca.html?partner=rss&emc=rss,"Laura Raicovich is particularly outspoken on immigration, an issue that hits close to home: Five percent of the museum’s staff members are DACA recipients.",NYT > Politics
10/8/2017,12:07 PM,"Trump Goes After Senator Bob Corker, Who Bites Back",https://www.nytimes.com/2017/10/08/us/politics/trump-corker.html?partner=rss&emc=rss,"Senator Corker, who decided not to run for re-election, tweeted that the White House had become “an adult day care center,” and said, “Someone obviously missed their shift this morning.”",NYT > Politics
10/8/2017,2:38 PM,Pence Leaves Colts Game After Visiting 49ers Kneel During Anthem,https://www.nytimes.com/2017/10/08/us/politics/pence-anthem-colts.html?partner=rss&emc=rss,"Following President Trump’s lead, the vice president said he would “not dignify any event that disrespects our soldiers, our Flag, or our National Anthem.”",NYT > Politics
10/8/2017,7:00 PM,"For Deal on ‘Dreamers,’ White House Will Demand Crackdown on Child Border Crossers",https://www.nytimes.com/2017/10/08/us/politics/white-house-daca.html?partner=rss&emc=rss,President Trump will demand curbs on children from Central America and a boost in border security before he agrees to a “Dreamers” deal for legal status.,NYT > Politics
10/9/2017,5:00 AM,"Stephen Miller, the Powerful Survivor on the President’s Right Flank",https://www.nytimes.com/2017/10/09/us/politics/stephen-miller-trump-white-house.html?partner=rss&emc=rss,"Mr. Miller, who was a conservative trapped in a liberal California high school, has rocketed to the upper reaches of White House influence, especially on immigration.",NYT > Politics
10/9/2017,5:00 AM,Sidebar: Facing the Death Penalty With a Disloyal Lawyer,https://www.nytimes.com/2017/10/09/us/politics/death-penalty-supreme-court-attorney.html?partner=rss&emc=rss,The Supreme Court has agreed to decide whether a lawyer may concede his client’s guilt in a death penalty case over the client’s objection.,NYT > Politics
10/9/2017,11:58 AM,E.P.A. Announces Repeal of Major Obama-Era Carbon Emissions Rule,https://www.nytimes.com/2017/10/09/climate/clean-power-plan.html?partner=rss&emc=rss,"The rollback of the Clean Power Plan, which limits greenhouse gas emissions from power plants, sets up a bitter fight over United States climate policy.",NYT > Politics
10/9/2017,11:51 AM,News Analysis: Corker’s Blast at Trump Has Other Republicans Nodding in Agreement,https://www.nytimes.com/2017/10/09/us/politics/corkers-blast-at-trump-has-other-republicans-nodding-in-agreement.html?partner=rss&emc=rss,"Other Republicans share the senator’s view of the president but fear retaliation if they express it out loud. Still, it could spell trouble for Trump.",NYT > Politics
10/9/2017,3:53 PM,Listen to Our Exclusive Interview with Senator Bob Corker,https://www.nytimes.com/video/us/politics/100000005486638/listen-to-our-exclusive-interview-with-senator-bob-corker.html?partner=rss&emc=rss,"In audio excerpts from an interview with Jonathan Martin, a New York Times reporter, Senator Bob Corker, Republican of Tennessee, spoke about President Trump's tweets and what Mr. Trump’s twitter feed means for diplomacy.",NYT > Politics
10/9/2017,5:25 PM,Trump’s Cuts to Health Law Enrollment Efforts Are Hitting Hard,https://www.nytimes.com/2017/10/09/us/politics/obamacare-trump-cuts-open-enrollment.html?partner=rss&emc=rss,The Trump administration promised its deepest cuts for groups that have performed poorly in signing people up for Obamacare insurance. It hasn’t worked that way.,NYT > Politics
10/9/2017,5:28 PM,‘Trump White House’ Reality Show Recap: An Ex-Wife Claims First Lady Title,https://www.nytimes.com/2017/10/09/us/politics/donald-trump-melania-ivana.html?partner=rss&emc=rss,"Melania Trump’s East Wing lashed out at President Trump’s first wife, Ivana, on Monday for jokingly referring to herself as first lady.",NYT > Politics
10/9/2017,5:32 PM,"After White House Issues Demands, Hopes for an Immigration Deal Dim",https://www.nytimes.com/2017/10/09/us/politics/trump-immigration-dreamers.html?partner=rss&emc=rss,President Trump’s list of hard-line immigration measures revealed an unspoken truth: Optimism for a bipartisan deal to protect “Dreamers” was likely misplaced.,NYT > Politics
10/9/2017,6:15 PM,Trump’s Immigration Rhetoric Echoes a Bitter Fight in the 90s,https://www.nytimes.com/video/us/politics/100000005485677/trumps-immigration-rhetoric-echoes-90s.html?partner=rss&emc=rss,"Border fences, deportations, and putting “America First.” It all happened in the 1990s, and it started in California.",NYT > Politics
10/9/2017,6:28 PM,"Stephen Miller, the Young Man With Trump’s Ear",https://www.nytimes.com/video/us/politics/100000004929293/stephen-miller-the-young-man-with-trumps-ear.html?partner=rss&emc=rss,"President Trump’s 32-year-old senior adviser has gained attention for his hard-line stances in support of the president. Glenn Thrush takes a look at Mr. Miller, from his days as a young conservative to his current role in the White House.",NYT > Politics
10/9/2017,6:30 PM,Retro Report: Trump’s Argument Against Immigrants: We’ve Heard It Before,https://www.nytimes.com/2017/10/09/us/retro-anti-immigration.html?partner=rss&emc=rss,"President Trump wants to sharply limit immigrants and refugees. His efforts, and the resulting backlash, echo the debate over a 1994 California referendum.",NYT > Politics
10/9/2017,6:51 PM,Right and Left React to Senator Bob Corker’s Rebuke of Trump,https://www.nytimes.com/2017/10/09/us/politics/right-and-left-react-to-senator-bob-corkers-rebuke-of-trump.html?partner=rss&emc=rss,Writers from across the political spectrum on the war of words between the president and the retiring senator from Tennessee.,NYT > Politics
10/9/2017,7:30 PM,Read Excepts From Senator Bob Corker’s Interview With The Times,https://www.nytimes.com/2017/10/09/us/politics/bob-corker-trump-interview-transcript.html?partner=rss&emc=rss,The Tennessee Republican discussed his relationship with President Trump and his outlook on the administration in a phone interview on Sunday with The Times.,NYT > Politics
10/9/2017,7:55 PM,How Russia Harvested American Rage to Reshape U.S. Politics,https://www.nytimes.com/2017/10/09/technology/russia-election-facebook-ads-rage.html?partner=rss&emc=rss,A Times examination of Russian-linked Facebook pages used in the 2016 election found that much of the content was taken directly from videos and posts from Americans.,NYT > Politics
10/10/2017,5:30 AM,The New Health Care: Doubtful Science Behind Arguments to Restrict Birth Control Access,https://www.nytimes.com/2017/10/10/upshot/doubtful-science-behind-arguments-to-restrict-birth-control-access.html?partner=rss&emc=rss,A Trump administration effort to weaken rules on health care coverage of contraception has raised legal questions. It should also raise medical ones.,NYT > Politics
10/10/2017,7:55 AM,Trump Threatens N.F.L. and Attacks Jemele Hill,https://www.nytimes.com/2017/10/10/us/politics/trump-nfl-jemele-hill.html?partner=rss&emc=rss,"In early Twitter posts, the president said Congress should eliminate a law allowing the N.F.L.’s central office to avoid paying taxes and said ESPN ratings have “tanked.”",NYT > Politics
10/10/2017,10:37 AM,"Trump Mocks Bob Corker’s Height, Escalating Feud with a Key Republican",https://www.nytimes.com/2017/10/10/us/politics/trump-corker-feud-tweet-liddle-bob.html?partner=rss&emc=rss,The president said that “Liddle Bob Corker” was “made to sound a fool” when the senator criticized Mr. Trump in an interview over the weekend.,NYT > Politics
10/10/2017,11:30 AM,"What Is the Clean Power Plan, and How Can Trump Repeal It?",https://www.nytimes.com/2017/10/10/climate/epa-clean-power-plan.html?partner=rss&emc=rss,"President Trump wants to scrap the Obama-era initiative. What will happen next, and how does this relate to the Paris climate agreement?",NYT > Politics
10/10/2017,2:21 PM,Kansas Tried a Tax Plan Similar to Trump’s. It Failed.,https://www.nytimes.com/2017/10/10/us/politics/kansas-tried-a-tax-plan-similar-to-trumps-it-failed.html?partner=rss&emc=rss,The state’s experiment with tax cuts on so-called pass-through entities did not heat up its economy — but did help some very rich people.,NYT > Politics
