"","word","sentiment"
"1","2-faced","negative"
"2","2-faces","negative"
"3","a+","positive"
"4","abnormal","negative"
"5","abolish","negative"
"6","abominable","negative"
"7","abominably","negative"
"8","abominate","negative"
"9","abomination","negative"
"10","abort","negative"
"11","aborted","negative"
"12","aborts","negative"
"13","abound","positive"
"14","abounds","positive"
"15","abrade","negative"
"16","abrasive","negative"
"17","abrupt","negative"
"18","abruptly","negative"
"19","abscond","negative"
"20","absence","negative"
"21","absent-minded","negative"
"22","absentee","negative"
"23","absurd","negative"
"24","absurdity","negative"
"25","absurdly","negative"
"26","absurdness","negative"
"27","abundance","positive"
"28","abundant","positive"
"29","abuse","negative"
"30","abused","negative"
"31","abuses","negative"
"32","abusive","negative"
"33","abysmal","negative"
"34","abysmally","negative"
"35","abyss","negative"
"36","accessable","positive"
"37","accessible","positive"
"38","accidental","negative"
"39","acclaim","positive"
"40","acclaimed","positive"
"41","acclamation","positive"
"42","accolade","positive"
"43","accolades","positive"
"44","accommodative","positive"
"45","accomodative","positive"
"46","accomplish","positive"
"47","accomplished","positive"
"48","accomplishment","positive"
"49","accomplishments","positive"
"50","accost","negative"
"51","accurate","positive"
"52","accurately","positive"
"53","accursed","negative"
"54","accusation","negative"
"55","accusations","negative"
"56","accuse","negative"
"57","accuses","negative"
"58","accusing","negative"
"59","accusingly","negative"
"60","acerbate","negative"
"61","acerbic","negative"
"62","acerbically","negative"
"63","ache","negative"
"64","ached","negative"
"65","aches","negative"
"66","achey","negative"
"67","achievable","positive"
"68","achievement","positive"
"69","achievements","positive"
"70","achievible","positive"
"71","aching","negative"
"72","acrid","negative"
"73","acridly","negative"
"74","acridness","negative"
"75","acrimonious","negative"
"76","acrimoniously","negative"
"77","acrimony","negative"
"78","acumen","positive"
"79","adamant","negative"
"80","adamantly","negative"
"81","adaptable","positive"
"82","adaptive","positive"
"83","addict","negative"
"84","addicted","negative"
"85","addicting","negative"
"86","addicts","negative"
"87","adequate","positive"
"88","adjustable","positive"
"89","admirable","positive"
"90","admirably","positive"
"91","admiration","positive"
"92","admire","positive"
"93","admirer","positive"
"94","admiring","positive"
"95","admiringly","positive"
"96","admonish","negative"
"97","admonisher","negative"
"98","admonishingly","negative"
"99","admonishment","negative"
"100","admonition","negative"
"101","adorable","positive"
"102","adore","positive"
"103","adored","positive"
"104","adorer","positive"
"105","adoring","positive"
"106","adoringly","positive"
"107","adroit","positive"
"108","adroitly","positive"
"109","adulate","positive"
"110","adulation","positive"
"111","adulatory","positive"
"112","adulterate","negative"
"113","adulterated","negative"
"114","adulteration","negative"
"115","adulterier","negative"
"116","advanced","positive"
"117","advantage","positive"
"118","advantageous","positive"
"119","advantageously","positive"
"120","advantages","positive"
"121","adventuresome","positive"
"122","adventurous","positive"
"123","adversarial","negative"
"124","adversary","negative"
"125","adverse","negative"
"126","adversity","negative"
"127","advocate","positive"
"128","advocated","positive"
"129","advocates","positive"
"130","affability","positive"
"131","affable","positive"
"132","affably","positive"
"133","affectation","positive"
"134","affection","positive"
"135","affectionate","positive"
"136","affinity","positive"
"137","affirm","positive"
"138","affirmation","positive"
"139","affirmative","positive"
"140","afflict","negative"
"141","affliction","negative"
"142","afflictive","negative"
"143","affluence","positive"
"144","affluent","positive"
"145","afford","positive"
"146","affordable","positive"
"147","affordably","positive"
"148","affront","negative"
"149","afordable","positive"
"150","afraid","negative"
"151","aggravate","negative"
"152","aggravating","negative"
"153","aggravation","negative"
"154","aggression","negative"
"155","aggressive","negative"
"156","aggressiveness","negative"
"157","aggressor","negative"
"158","aggrieve","negative"
"159","aggrieved","negative"
"160","aggrivation","negative"
"161","aghast","negative"
"162","agile","positive"
"163","agilely","positive"
"164","agility","positive"
"165","agonies","negative"
"166","agonize","negative"
"167","agonizing","negative"
"168","agonizingly","negative"
"169","agony","negative"
"170","agreeable","positive"
"171","agreeableness","positive"
"172","agreeably","positive"
"173","aground","negative"
"174","ail","negative"
"175","ailing","negative"
"176","ailment","negative"
"177","aimless","negative"
"178","alarm","negative"
"179","alarmed","negative"
"180","alarming","negative"
"181","alarmingly","negative"
"182","alienate","negative"
"183","alienated","negative"
"184","alienation","negative"
"185","all-around","positive"
"186","allegation","negative"
"187","allegations","negative"
"188","allege","negative"
"189","allergic","negative"
"190","allergies","negative"
"191","allergy","negative"
"192","alluring","positive"
"193","alluringly","positive"
"194","aloof","negative"
"195","altercation","negative"
"196","altruistic","positive"
"197","altruistically","positive"
"198","amaze","positive"
"199","amazed","positive"
"200","amazement","positive"
"201","amazes","positive"
"202","amazing","positive"
"203","amazingly","positive"
"204","ambiguity","negative"
"205","ambiguous","negative"
"206","ambitious","positive"
"207","ambitiously","positive"
"208","ambivalence","negative"
"209","ambivalent","negative"
"210","ambush","negative"
"211","ameliorate","positive"
"212","amenable","positive"
"213","amenity","positive"
"214","amiability","positive"
"215","amiabily","positive"
"216","amiable","positive"
"217","amicability","positive"
"218","amicable","positive"
"219","amicably","positive"
"220","amiss","negative"
"221","amity","positive"
"222","ample","positive"
"223","amply","positive"
"224","amputate","negative"
"225","amuse","positive"
"226","amusing","positive"
"227","amusingly","positive"
"228","anarchism","negative"
"229","anarchist","negative"
"230","anarchistic","negative"
"231","anarchy","negative"
"232","anemic","negative"
"233","angel","positive"
"234","angelic","positive"
"235","anger","negative"
"236","angrily","negative"
"237","angriness","negative"
"238","angry","negative"
"239","anguish","negative"
"240","animosity","negative"
"241","annihilate","negative"
"242","annihilation","negative"
"243","annoy","negative"
"244","annoyance","negative"
"245","annoyances","negative"
"246","annoyed","negative"
"247","annoying","negative"
"248","annoyingly","negative"
"249","annoys","negative"
"250","anomalous","negative"
"251","anomaly","negative"
"252","antagonism","negative"
"253","antagonist","negative"
"254","antagonistic","negative"
"255","antagonize","negative"
"256","anti-","negative"
"257","anti-american","negative"
"258","anti-israeli","negative"
"259","anti-occupation","negative"
"260","anti-proliferation","negative"
"261","anti-semites","negative"
"262","anti-social","negative"
"263","anti-us","negative"
"264","anti-white","negative"
"265","antipathy","negative"
"266","antiquated","negative"
"267","antithetical","negative"
"268","anxieties","negative"
"269","anxiety","negative"
"270","anxious","negative"
