headline,date
"""@realJoeMurray: Hopefully tomorrow is the day we start to make America great again! Looking forward to it, @realDonaldTrump. #Trump2016",6/16/2015
"""@brentcfritz: Today is the day America becomes great again. @realDonaldTrump has some huge news that will shock the world #Trump4President""",6/16/2015
"""@insuraider: @realDonaldTrump is going to make Hillary's head spin tomorrow morning. Presidential Debate? Yes, please. #Trump2016""",6/16/2015
"""@DONJUBBER: @realDonaldTrump Shock the world!#Trump4President""",6/16/2015
"""@PianoBecca: @realDonaldTrump No Amercian, really, can impact such staggering influence. Stay True! Great and savvy bizman! America: GREAT!",6/16/2015
"""@isabelsimon80: @realDonaldTrump @brentcfritz Donald has as good of a chance as anyone else.. 👍People like him...NO MORE POLITICIAN'S...""",6/16/2015
"""@Knight276: @realDonaldTrump @realJoeMurray America can be great again with trump at the helm. Confidence counts.""",6/16/2015
"""@_Snurk: @realDonaldTrump Love it! Always respect FIGHTERS over overrated loser POLITITIANS!! Inspire GREATNESS! #TRUMP #2016""",6/16/2015
"""@rg_radical99: Counting down the hours to @realDonaldTrump announcement! Ready for America to become great again. Supporting you Mr. Trump.",6/16/2015
"""@Rhumeey: I really would want to see what America would look like...with @realDonaldTrump at the helm of affairs. https://t.co/zfvJpyjVoH""",6/16/2015
"""@NickyFlash2: #Trump4President #Trump2016 @realDonaldTrump""",6/16/2015
"""@Jarod_Pitmon10: I am a full supporter of #Trump2016 @realDonaldTrump is a guy that will help this country""",6/16/2015
"""@premuse: @realDonaldTrump Let's take this country back. #TrumpLeeds2016""",6/16/2015
"""@Desheay: @realDonaldTrump Your twitter banner is awesome. Cant wait for tomorrow.....TRUMP 2016..""",6/16/2015
"""@DavidSBaldwin: @realDonaldTrump today's the day #Trump2016! Good luck!""",6/16/2015
"""@jaketapper: DonaldTrump in Iowa says ""I have a Gucci store that's worth more money than Romney"" Fact check: true http://t.co/xvDVHmntvR""",6/16/2015
Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.,6/16/2015
Thanks. https://t.co/eZfgrOy1Hn,6/16/2015
"""@AppSame We are going to listen @realDonaldTrump If you are really running &amp; if you keep to your word You really have a great chance to win",6/16/2015
It is almost time. I will be making a major announcement from @TrumpTowerNY at 11AM. Follow on social media! #MakeAmericaGreatAgain,6/16/2015
Make sure to follow me on @periscopeco #MakeAmericaGreatAgain,6/16/2015
In one hour I will be making a major announcement from Trump Tower. Watch it live on Periscope! https://t.co/kYOHIpBzan,6/16/2015
Make sure to follow me on @periscopeco. I will be streaming my announcement at 11AM.,6/16/2015
11AM #MakeAmericaGreatAgain https://t.co/445bOdp6QY,6/16/2015
"Thanks Geraldo, you're a champion. https://t.co/APfc0PThCP",6/16/2015
LIVE on #Periscope: Major announcement! #MakeAmericaGreatAgain https://t.co/XW3PqHemNq,6/16/2015
I am officially running for President of the United States. #MakeAmericaGreatAgain https://t.co/Ct0lNu7kz0,6/16/2015
#MakeAmericaGreatAgain https://t.co/JguVmqXqWA,6/16/2015
Thanks Eric. https://t.co/phUbaTvq8d,6/16/2015
Today I officially declared my candidacy for President of the United States. Watch the video of my full speech- https://t.co/gonTk0o9Dt,6/16/2015
"Dear @kimguilfoyle, Thank you so much for your nice words today on @TheFive. Will not be forgotten! In Iowa now. Packed house!",6/17/2015
"@ericbolling, watched you on my flight to Iowa. Will not be forgotten.",6/17/2015
Thanks @greggutfeld. Really nice! I’m glad I did your show. @GregGutfeldShow,6/17/2015
"@ericbolling, in addition,no doubt you would have been amazing on @ApprenticeNBC! Keep up the great work.",6/17/2015
"Enjoyed watching @MonicaCrowley's analysis of my @BillOreilly interview. Great points! Thank you, Monica.",6/17/2015
"""@Gabigayle @FoxNews @realDonaldTrump He doesnt need anyone's money and can speak the truth because of it!  Go Donald!""",6/17/2015
Thank you Sarah--Let's have pizza in New York soon with you &amp; your great family https://t.co/SQ6LsNZ6UC,6/17/2015
Only a fool would buy the @NYDailyNews. Loses fortune &amp; has zero gravitas. Let it die!,6/17/2015
We need someone with experience to rebuild America. #MakeAmericaGreatAgain https://t.co/Y5Wq9LuCT0,6/17/2015
Heading to New Hampshire. #MakeAmericaGreatAgain https://t.co/qTMiYoR9wu,6/17/2015
Speaking to great patriots @MCC_CT. My first visit to Granite State since declaring my candidacy! #FITN https://t.co/HfdDwzjOf0,6/17/2015
Thank you. https://t.co/cTB9G0sAl0,6/18/2015
"Trump Int'l Hotel &amp; Tower, Chicago, has received accolades for design, service &amp; our signature restaurant, ""Sixteen"" http://t.co/4oJj9nQnUH",6/18/2015
The tragedy in South Carolina is incomprehensible. My deepest condolences to all.,6/18/2015
Watch my appearance on @Morning_Joe - great interview! http://t.co/ZVftDka774,6/18/2015
"Trump Nat'l Golf Club Philadelphia, 360 beautiful acres as designed by Tom Fazio with views of the Philly skyline.  http://t.co/jha0m0W4Kk",6/18/2015
"""@JustinBorges1 Trump 4 president...has a nice ring to it. About time someone who isn't afraid to say/do what's necessary took the reigns""",6/18/2015
"""@megliq: Ive been saying ""Donald trump for preZ"" since 2nd grade.I AM YOUR BIGGEST FAN LOOK I MET U @realDonaldTrump http://t.co/LrJujtXbFJ",6/19/2015
"""@AndyBran: @JoeNBC  Mr. Trump nailed it! Wow: After Doubts, Economists Find China Kills U.S. Factory Jobs - http://t.co/bzYPJ5bWSo”""",6/19/2015
"""@MrInsaf: @realDonaldTrump @AndyBran @JoeNBC @keichri I believe Donald Trump will always make the best deal for his people""",6/19/2015
"""@CliffShep: @realDonaldTrump You've got my vote!!""",6/19/2015
"""@hufseyg: I've waited to vote for @realDonaldTrump since I was little. I can't wait for 2016""",6/19/2015
"""@elizwatkins: @realDonaldTrump So how many more days until you are in office? #PresidentTrump #Letstalkbusiness""",6/19/2015
"""@HolySelena: @realDonaldTrump You are such a bright man. You have my vote!!""",6/19/2015
"""@hollyammon:  @AndyBran @JoeNBC DONALD TRUMP has been telling anyone who would listen about the Chinese currency manipulation.""  So true.",6/19/2015
"""@dcfoodsafety:  Mr. Trump you're the candidate that we have been waiting for you tell it real and you will get it done you have my vote!""",6/19/2015
"""@ChaddRyann: Keep doing what you're doing! You're attracting attention and people are talking more then they were before! #Trump2016""",6/19/2015
