headline,section,date
"‘He’s better than this, says Thomas Barrack, Trump’s loyal whisperer",Politics,10/10/2017
"Interior Secretary Zinke's claim that the U.S. has struggled to produce 'low-cost, abundant and reliable energy'",Politics,10/11/2017
Trump to tout benefits of his tax plan to the nation's truckers in Pennsylvania speech,Politics,10/11/2017
This is how the NRA 'politically weaponized' its membership,Politics,10/11/2017
The Daily 202: Foreign intelligence agencies might be using your anti-virus software against you,Politics,10/11/2017
The Finance 202: Senate budget passage isn't a done deal,Politics,10/11/2017
Persuading voters is hard. That doesn’t mean campaigns should give up.,Politics,10/11/2017
The Health 202: Conservatives say Trump's plans to roll back Obamacare aren't enough for them,Politics,10/11/2017
González details the still 'dire situation' in Puerto Rico,Politics,10/11/2017
Ryan urges Congress to pass supplemental disaster funding bill,Politics,10/11/2017
"Twice in the past 30 years, the markets did better post-election than after November 2016",Politics,10/11/2017
"MSNBC's unhelpful, misleading tweet about an imagined conversation on Trump and nukes",Politics,10/11/2017
It's up to Congress to keep or kill the Iran nuclear deal. Here's how lawmakers could do either.,Politics,10/11/2017
"Ryan: Regulating bump stocks is the 'smartest, quickest fix'",Politics,10/11/2017
"House Republicans shy away from action on ‘bump stocks,’ hoping ATF deals with it",Politics,10/11/2017
McConnell signals he will end the practice of allowing senators to block judges,Politics,10/11/2017
This is the biggest cry for help from a Trump adviser yet,Politics,10/11/2017
Trump promises 'Obamacare relief' with new executive order,Politics,10/12/2017
This executive order is Trump's most significant step yet to undermine Obamacare,Politics,10/12/2017
Trump: U.S. and Pakistan 'secured the release' of family from Haqqani network,Politics,10/12/2017
We'll probably never know exactly how many people died in the aftermath of Hurricane Maria,Politics,10/12/2017
Trump simply doesn’t get how to talk to and about people of color,Politics,10/12/2017
Puerto Rico is officially a problem for Trump. His numbers are worse than Bush's post-Katrina.,Politics,10/12/2017
The full signing of Trump’s health-care executive order,Politics,10/12/2017
"Trump's 10 softest interviews as president, ranked",Politics,10/12/2017
"Trump's 10 softest interviews as president, ranked",Politics,10/12/2017
"Trump stumping for Gillespie? White House, campaign in ‘serious talks, ’ Trump’s Va. chairman says",Politics,10/12/2017
Oops: Rick Perry flubs and calls Puerto Rico a 'country',Politics,10/12/2017
Rick Perry is corrected for calling Puerto Rico a 'country',Politics,10/12/2017
"White House chief Kelly: 'Unless things change, I’m not quitting. I’m not getting fired.'",Politics,10/12/2017
Why is a former Clinton pollster writing iffy poll analysis that panders to Trump supporters?,Politics,10/12/2017
"Trump's tweets anger, but do not surprise, Puerto Ricans",Politics,10/12/2017
John Kelly offered a not-very-reassuring adage about diplomacy and war,Politics,10/12/2017
How does the 25th Amendment work?,Politics,10/12/2017
Federal employees more positive about working for Uncle Sam,Politics,10/12/2017
"House approves $36 billion in disaster aid, responding to wildfires and Puerto Rico crisis",Politics,10/12/2017
Black Americans want new gun laws to curb gun violence. Trump offers more police.,Politics,10/12/2017
Where’s Zinke? The Interior secretary’s special flag offers clues,Politics,10/12/2017
Trump threat to abandon Puerto Rico recovery sparks a backlash,Politics,10/12/2017
Kelly seeks to tamp down rumors he’s unhappy working for Trump and on his way out,Politics,10/12/2017
"‘Mr. President, you charlatan.’ Puerto Ricans react to Trump’s latest statement about hurricane recovery",Politics,10/12/2017
Trump joked about “To The Color.” Here’s what you need to know about the military custom.,Politics,10/12/2017
"Trump to extend March 5 deadline to end DACA protections if Congress doesn’t act, GOP senator says",Politics,10/12/2017
"Dianne Feinstein poised to draw a primary challenger, Kevin de León",Politics,10/12/2017
Trump's claim that U.S. interceptors can knock out ICMBs '97 percent of the time',Politics,10/13/2017
Can President Trump really revoke broadcast licenses?,Politics,10/13/2017
"To many Americans, being patriotic means being white",Politics,10/13/2017
The NFL has the most protests. It is also the most American sports league.,Politics,10/13/2017
Trump's claim that U.S. interceptors can knock out ICMBs '97 percent of the time',Politics,10/13/2017
"Trump to set new conditions for U.S. to stay in Iran nuclear deal, tossing issue to Congress",Politics,10/13/2017
"The Daily 202: Throwing a bomb into the insurance markets, Trump now owns the broken health-care system",Politics,10/13/2017
"Republican Collins to remain in Senate, ending speculation about bid for Maine governor",Politics,10/13/2017
The Finance 202: House GOP may cap state and local tax deduction amid outcry from moderates,Politics,10/13/2017
Trump is setting up Congress to fail,Politics,10/13/2017
The Health 202: Trump moves from firing shots at Obamacare to all-out war,Politics,10/13/2017
A self-fulfilling prophecy: President Trump may have just blown up Obamacare,Politics,10/13/2017
Trump's not going to be able to avoid blame for kneecapping Obamacare,Politics,10/13/2017
2 percent federal retirement COLA set for January,Politics,10/13/2017
The Energy 202: The EPA is targeting biofuels. Chuck Grassley isn't happy.,Politics,10/13/2017
Meadows on lawmakers who don't support Trump: 'Eject 'em!',Politics,10/13/2017
Trump says he 'met with the president of the Virgin Islands',Politics,10/13/2017
Trump calls Iran 'a terrorist nation like few others',Politics,10/13/2017
The top 10 Senate races of 2018,Politics,10/13/2017
White House tells court it is immediately stopping ACA cost-sharing subsidies,Politics,10/13/2017
Trump lauds 'shared and timeless values' at Voters Value Summit,Politics,10/13/2017
Trump says he's following through 'on one promise after another',Politics,10/13/2017
"Trump on Obamacare: 'One by one, it's going to come down'",Politics,10/13/2017
President Trump's full 2017 speech at the Values Voter Summit,Politics,10/13/2017
Here's how many previous Friday the 13ths you've managed to survive,Politics,10/13/2017
"Cruz warns GOP could face ‘Watergate-level blowout’ in midterms if it fails on taxes, health-care",Politics,10/13/2017
Harvey Weinstein’s company might not survive his scandal. Why did Fox News survive Roger Ailes’s?,Politics,10/13/2017
Susan Collins’s near-retirement speaks directly to the frustrations of Washington,Politics,10/13/2017
Trump’s Obamacare attack heralds new health-care battles on Capitol Hill,Politics,10/13/2017
Life for some in 2017: Wondering if there will be a winter this winter,Politics,10/13/2017
"Angered by gun control, this lawmaker drafted a bill to require licenses for journalists",Politics,10/13/2017
"Trump: May, Macron ‘would love me to stay in’ Iran deal",Politics,10/13/2017
Trump to Democrats: ‘Come over to the White House’ for health-care negotiation,Politics,10/13/2017
#WomenBoycottTwitter revives post-election conversations about the lack of solidarity among women,Politics,10/13/2017
Trump: ‘We’ve done a great job in Puerto Rico’,Politics,10/13/2017
"Sorry, Yankee fans: Trump's claim that he can ensure victory simply isn't true",Politics,10/13/2017
NBC's pass on the Weinstein story gave Trump ammunition,Politics,10/13/2017
What you need to know about the controversial #WomenBoycottTwitter campaign,Politics,10/13/2017
Press secretary goes for a ride on Secret Service driving course,Politics,10/13/2017
The key to Trump’s Iran plan is his harshest congressional critic,Politics,10/13/2017
Here's the situation in Puerto Rico vs. How Trump is casting it,Politics,10/13/2017
"Reince Priebus, former Trump chief of staff, interviewed by Mueller team",Politics,10/13/2017
Zinke pledges ‘action’ on harassment inside Park Service,Politics,10/13/2017
‘Dark-money’ superlawyer bills herself as advocate for charities in Va. lieutenant governor’s race,Politics,10/13/2017
The Health 202: Trump moves from firing shots at Obamacare to all-out war,Politics,10/13/2017
Fact-checking President Trump’s speech on the Iran deal,Politics,10/14/2017
5 reasons the GOP won't dump Trump,Politics,10/14/2017
Score one for Kellyanne Conway. The New York Times plans to toughen its Twitter policy.,Politics,10/14/2017
Trump turns to executive powers in bid to force Congress into action,Politics,10/14/2017
Trump governs by disruption — and overloads all the circuits,Politics,10/14/2017
"It’s not my war; this is our war': Bannon threatens McConnell, Corker and GOP incumbents",Politics,10/14/2017
Trump voter fraud commission researcher arrested on child pornography charges,Politics,10/14/2017
Have dirt that could impeach Trump? Larry Flynt will pay you $10 million.,Politics,10/14/2017
Vice President Pence throws his weight behind Va. GOP gubernatorial candidate Ed Gillespie,Politics,10/14/2017
Hillary Clinton: Americans elected 'someone who admitted sexual assault',Politics,10/14/2017
"Almost half of Republicans want war with North Korea, a new poll says. Is it the Trump Effect?",Politics,10/14/2017
GOP lawmakers walk the line between defying Trump and alienating their base,Politics,10/14/2017
Kellyanne Conway is a terrifyingly quotable Pennywise the clown in SNL's biting sketch,Politics,10/15/2017
"Trump says he's fulfilled his promises to Christians, but he really means white evangelicals",Politics,10/15/2017
Sen. Collins: Trump needs to realize his words matter,Politics,10/15/2017
"‘I’m intact,’ Rex Tillerson says of his standing in Washington",Politics,10/15/2017
"I've got to stay,' Pelosi says, to defend Obamacare",Politics,10/15/2017
"Trump to meet Philippine President Rodrigo Duterte, accused of extrajudicial killings, during Asian visit",Politics,10/16/2017
Supreme Court to consider major digital privacy case on Microsoft email storage,Politics,10/16/2017
The California Senate race could be ground zero in the battle for the direction of the Democratic Party,Politics,10/16/2017
"On Harvey Weinstein, the Trumps toss more stones from their glass house",Politics,10/16/2017
