district-code,race,count
AL-07,U.S. House,1
AL-02,U.S. House,3
AL-03,U.S. House,2
AL-01,U.S. House,1
AL-02,U.S. House,3
AL-03,U.S. House,2
AL-02,U.S. House,3
AK-AL,U.S. House,2
AK-AL,U.S. House,2
AZ-02,U.S. House,4
AZ-05,U.S. House,1
AZ-06,U.S. House,2
AZ-08,U.S. House,3
AZ,U.S. Senate,4
AZ-02,U.S. House,4
AZ-02,U.S. House,4
AZ-04,U.S. House,1
AZ-06,U.S. House,2
AZ-07,U.S. House,1
AZ,U.S. Senate,4
AZ-08,U.S. House,3
AZ-01,U.S. House,2
AZ-02,U.S. House,4
AZ,U.S. Senate,4
AZ-01,U.S. House,2
AZ-03,U.S. House,1
AZ-08,U.S. House,3
AZ-09,U.S. House,1
AZ,U.S. Senate,4
AR-04,U.S. House,1
AR-02,U.S. House,1
CA-06,U.S. House,1
CA-12,U.S. House,2
CA-13,U.S. House,1
CA-14,U.S. House,2
CA-18,U.S. House,2
CA-19,U.S. House,1
CA-26,U.S. House,1
CA-27,U.S. House,1
CA-32,U.S. House,1
CA-35,U.S. House,1
CA-37,U.S. House,1
CA-38,U.S. House,1
CA-40,U.S. House,1
CA-43,U.S. House,1
CA-44,U.S. House,4
CA-53,U.S. House,2
CA-01,U.S. House,3
CA-04,U.S. House,3
CA-23,U.S. House,3
CA-25,U.S. House,3
CA-42,U.S. House,1
CA-44,U.S. House,4
CA-45,U.S. House,2
CA,U.S. Senate,4
CA-01,U.S. House,3
CA-01,U.S. House,3
CA-04,U.S. House,3
CA-04,U.S. House,3
CA-08,U.S. House,2
CA-08,U.S. House,2
CA-10,U.S. House,3
CA-10,U.S. House,3
CA-10,U.S. House,3
CA-23,U.S. House,3
CA-23,U.S. House,3
CA-25,U.S. House,3
CA-25,U.S. House,3
CA-39,U.S. House,3
CA-39,U.S. House,3
CA-48,U.S. House,4
CA-48,U.S. House,4
CA-48,U.S. House,4
CA-49,U.S. House,3
CA,U.S. Senate,4
CA,U.S. Senate,4
CA-45,U.S. House,2
CA-09,U.S. House,1
CA-12,U.S. House,2
CA-14,U.S. House,2
CA-16,U.S. House,1
CA-18,U.S. House,2
CA-36,U.S. House,1
CA-39,U.S. House,3
CA-41,U.S. House,1
CA-49,U.S. House,3
CA-53,U.S. House,2
CA-44,U.S. House,4
CA-44,U.S. House,4
CA-48,U.S. House,4
CA-49,U.S. House,3
CA,U.S. Senate,4
CO-01,U.S. House,2
CO-03,U.S. House,1
CO-04,U.S. House,1
CO-05,U.S. House,1
CO-01,U.S. House,2
CT-03,U.S. House,1
CT-05,U.S. House,3
CT-05,U.S. House,3
CT-01,U.S. House,1
CT-05,U.S. House,3
DE-AL,U.S. House,1
DE,U.S. Senate,1
FL-07,U.S. House,2
FL-10,U.S. House,1
FL-14,U.S. House,1
FL-21,U.S. House,1
FL-23,U.S. House,2
